bank,analyst,price_target,rating,date
Wells Fargo,Aaron Rakers,315.00,Overweight,2026-08-11
Bernstein,Stacy Rasgon,315.00,Outperform,2026-08-03
Tigress Financial,Ivan Feinseth,360.00,Strong Buy,2026-03-05
Evercore ISI,Mark Lipacis,352.00,Outperform,2026-03-02
Morgan Stanley,Joseph Moore,288.00,Overweight,2026-08-14
Goldman Sachs,James Schneider,285.00,Buy,2026-08-12
Bank of America,Vivek Arya,275.00,Buy,2026-01-28
Susquehanna,Christopher Rolland,275.00,Positive,2026-08-12
JPMorgan,Harlan Sur,265.00,Overweight,2026-03-02
