fiscal_year,period_end_date,revenue,gross_margin,ebit,ebitda,net_income,eps_diluted,capex,total_debt,cash_and_investments,total_equity,shares_diluted,source_note
FY2022,2022-01-30,26914,0.649,10041,11215,9752,0.39,2109,10946,19340,26612,24960,10-K FY2022 (split-adjusted EPS/shares)
FY2023,2023-01-29,26974,0.569,4224,5768,4368,0.17,1833,10935,20790,22101,25070,10-K FY2023
FY2024,2024-01-28,60922,0.729,32972,34480,29760,1.19,1069,9704,25980,42978,24940,10-K FY2024
FY2025,2025-01-26,130497,0.750,81453,83317,72880,2.94,3236,8463,43210,79327,24690,10-K FY2025
FY2026,2026-01-25,215900,0.711,136000,139000,120100,4.90,11400,10250,56000,120000,24500,10-K FY2026 (approx)
