entity,ticker,is_subject,price,shares_diluted,market_cap,net_debt,enterprise_value,pe_ttm,pe_fwd,ev_ebitda_ttm,ev_ebitda_fwd,ev_revenue_ttm,ev_revenue_fwd,peg_fwd,as_of_date,notes
NVIDIA,NVDA,TRUE,212.00,24500,5194000,-50000,5144000,32.9,21.4,31.2,24.0,20.3,13.1,0.48,2026-08-19,subject company
Advanced Micro Devices,AMD,FALSE,175.00,1630,285250,-2000,283250,48.3,30.3,47.7,28.6,9.3,6.9,0.72,2026-07-24,non-GAAP basis
Taiwan Semiconductor,TSM,FALSE,220.00,5190,1141800,-95000,1046800,29.0,22.0,18.6,18.0,13.3,11.0,,2026-07-01,ADR basis
Qualcomm,QCOM,FALSE,170.00,1090,185300,25000,210300,17.5,14.5,11.5,10.5,4.0,3.7,,2026-05-06,
Broadcom,AVGO,FALSE,340.00,4720,1604800,45300,1650100,61.3,45.0,42.3,35.0,23.0,19.0,,2026-08-21,estimates derived
Marvell Technology,MRVL,FALSE,211.02,860,181480,3500,184980,64.5,46.3,33.0,26.0,13.0,11.0,,2026-08-06,
