fiscal_year,period_end_date,revenue,gross_margin,ebitda,ebit,net_income,eps_diluted,da,cfo,capex,total_debt,cash_and_investments,ppe_net,shareholders_equity,shares_diluted,price,source_note
FY2021,2021-12-31,103.187,0.3433,6.528,5.686,3.968,0.17,0.842,2.922,8.556,,25.499,30.511,59.956,24.000,4.20,Hove FY2025 annual report five-year key figures
FY2022,2022-12-31,151.502,0.3414,11.204,10.026,7.117,0.30,1.178,-0.059,3.038,,19.660,32.228,67.223,24.000,3.65,Hove FY2025 annual report five-year key figures
FY2023,2023-12-31,186.965,0.3445,20.436,11.789,3.575,0.15,8.647,3.369,3.163,,13.630,26.720,71.424,24.420,6.38,Hove FY2025 annual report five-year key figures
FY2024,2024-12-31,169.331,0.3699,13.488,10.513,5.662,0.23,2.975,-4.072,2.052,,6.340,25.880,79.324,24.654838,3.03,Hove FY2025 annual report five-year key figures
FY2025,2025-12-31,209.067,0.3477,22.561,20.540,13.643,0.55,2.021,6.742,7.425,7.124,0.028,31.046,87.164,25.283333,4.93,Hove FY2025 annual report; debt implied from net debt plus cash
