period,period_end_date,revenue,gross_profit,gross_margin,ebitda,ebit,net_financials,net_income,cfo,cash_flow_investing,cash_flow_financing,net_cash_flow,cash_end,non_current_assets,assets,equity,net_working_capital,net_interest_bearing_debt,invested_capital,shares_outstanding,share_price,market_cap,eps,source_note
H1 2025,2025-06-30,108.314,38.860,0.3588,13.192,12.168,-1.453,8.293,10.904,-6.742,-0.635,-7.425,3.520,25.209,112.782,81.963,64.212,5.333,89.421,25.079838,3.14,78.8,0.33,Hove H1 2026 comparative figures
H1 2026,2026-06-30,150.135,48.987,0.3263,19.553,18.557,0.051,15.283,5.244,-1.026,0.399,4.616,4.588,31.199,140.864,96.618,79.281,11.563,110.480,25.283333,5.54,140.1,0.60,Hove H1 2026 report
